symbol,name,fiscal_year,current_price,analyst_tp,analyst_low,analyst_high,consensus,last_updated,price,eps,pe,roe,bvps,debt_assets,ocfps,fcfps,revps,divps
ABBV,AbbVie Inc.,2022,217.72,252.89655,184.0,328.0,Buy,2026-05-31T14:27:54,142.46,6.63,21.49,68.6,9.7042,0.4558,14.0287,13.6378,32.6513,5.64
ABBV,AbbVie Inc.,2023,217.72,252.89655,184.0,328.0,Buy,2026-05-31T14:27:54,142.12,2.72,52.25,46.94,5.8432,0.4408,12.8816,12.4433,30.6362,5.92
ABBV,AbbVie Inc.,2024,217.72,252.89655,184.0,328.0,Buy,2026-05-31T14:27:54,168.92,2.39,70.68,128.66,1.8754,0.4968,10.6069,10.0575,31.7733,6.2
ABBV,AbbVie Inc.,2025,217.72,252.89655,184.0,328.0,Buy,2026-05-31T14:27:54,224.8,2.37,94.85,-129.24,-1.8443,0.5039,10.7332,10.0485,34.4952,6.56
ABT,Abbott Laboratories,2015,85.6,117.29167,92.0,135.0,Buy,2026-05-31T14:53:39,41.5,1.3,31.92,9.5,13.5,0.35,2.8,1.6,14.5,0.98
ABT,Abbott Laboratories,2016,85.6,117.29167,92.0,135.0,Buy,2026-05-31T14:53:39,43.8,1.54,28.44,10.5,14.0,0.41,3.3,2.0,15.0,1.07
ABT,Abbott Laboratories,2017,85.6,117.29167,92.0,135.0,Buy,2026-05-31T14:53:39,56.5,0.85,66.47,5.5,16.0,0.43,4.3,2.9,15.5,1.14
ABT,Abbott Laboratories,2018,85.6,117.29167,92.0,135.0,Buy,2026-05-31T14:53:39,63.7,2.14,29.77,13.0,17.0,0.42,5.2,3.7,20.5,1.28
ABT,Abbott Laboratories,2019,85.6,117.29167,92.0,135.0,Buy,2026-05-31T14:53:39,84.0,2.43,34.57,14.0,17.5,0.4,5.5,4.2,20.5,1.44
ABT,Abbott Laboratories,2020,85.6,117.29167,92.0,135.0,Buy,2026-05-31T14:53:39,108.5,2.55,42.55,14.5,18.0,0.4,6.0,5.0,21.0,1.8
ABT,Abbott Laboratories,2021,85.6,117.29167,92.0,135.0,Buy,2026-05-31T14:53:39,129.11,,,,,,,,,1.8
ABT,Abbott Laboratories,2022,85.6,117.29167,92.0,135.0,Buy,2026-05-31T14:53:39,102.4,3.91,26.19,18.9,20.7971,0.238,5.4314,4.424,24.7466,1.88
ABT,Abbott Laboratories,2023,85.6,117.29167,92.0,135.0,Buy,2026-05-31T14:53:39,104.72,3.26,32.12,14.83,22.0715,0.2135,4.1515,2.8925,22.9325,2.04
ABT,Abbott Laboratories,2024,85.6,117.29167,92.0,135.0,Buy,2026-05-31T14:53:39,109.76,7.64,14.37,28.12,27.2677,0.1845,4.8959,3.6333,23.9989,2.2
ABT,Abbott Laboratories,2025,85.6,117.29167,92.0,135.0,Buy,2026-05-31T14:53:39,123.88,3.72,33.3,12.51,29.8056,0.1598,5.4694,4.2281,25.3448,2.36
ACN,Accenture plc,2015,187.07,247.54884,180.27,320.0,Buy,2026-05-31T14:53:42,107.6,4.78,22.51,42.0,11.0,0.28,7.0,6.5,50.0,2.08
ACN,Accenture plc,2016,187.07,247.54884,180.27,320.0,Buy,2026-05-31T14:53:42,119.3,5.2,22.94,44.0,11.5,0.28,7.8,7.2,51.0,2.3
ACN,Accenture plc,2017,187.07,247.54884,180.27,320.0,Buy,2026-05-31T14:53:42,133.6,5.44,24.56,46.0,12.0,0.3,8.5,7.8,54.0,2.6
ACN,Accenture plc,2018,187.07,247.54884,180.27,320.0,Buy,2026-05-31T14:53:42,153.2,6.46,23.72,50.0,12.5,0.32,9.8,9.2,60.0,2.92
ACN,Accenture plc,2019,187.07,247.54884,180.27,320.0,Buy,2026-05-31T14:53:42,199.3,7.08,28.15,54.0,13.5,0.32,11.0,10.3,66.0,3.28
ACN,Accenture plc,2020,187.07,247.54884,180.27,320.0,Buy,2026-05-31T14:53:42,247.5,7.36,33.63,55.0,13.5,0.35,12.0,11.2,66.0,3.44
ACN,Accenture plc,2021,187.07,247.54884,180.27,320.0,Buy,2026-05-31T14:53:42,387.34,,,,,,,,,3.61
ACN,Accenture plc,2022,187.07,247.54884,180.27,320.0,Buy,2026-05-31T14:53:42,252.73,10.71,23.6,31.11,34.3882,0.0704,14.8422,13.7253,95.816,4.03
ACN,Accenture plc,2023,187.07,247.54884,180.27,320.0,Buy,2026-05-31T14:53:42,337.63,10.77,31.35,26.75,40.2336,0.0615,14.9145,14.0874,100.3955,4.65
ACN,Accenture plc,2024,187.07,247.54884,180.27,320.0,Buy,2026-05-31T14:53:42,343.92,11.44,30.06,25.68,44.4832,0.0737,14.3583,13.5461,102.0481,5.35
ACN,Accenture plc,2025,187.07,247.54884,180.27,320.0,Buy,2026-05-31T14:53:42,266.04,12.15,21.9,24.61,49.3259,0.1251,18.1432,17.1944,110.1662,4.44
AEP,"American Electric Power Company, Inc.",2015,126.67,144.5238,129.0,173.0,Buy,2026-05-31T14:53:44,55.2,3.69,14.96,10.0,37.0,0.51,7.5,0.5,31.0,2.0
AEP,"American Electric Power Company, Inc.",2016,126.67,144.5238,129.0,173.0,Buy,2026-05-31T14:53:44,64.0,3.94,16.24,10.5,38.5,0.53,8.0,0.6,31.5,2.17
AEP,"American Electric Power Company, Inc.",2017,126.67,144.5238,129.0,173.0,Buy,2026-05-31T14:53:44,68.5,3.58,19.13,9.0,40.0,0.54,8.5,0.7,31.0,2.27
AEP,"American Electric Power Company, Inc.",2018,126.67,144.5238,129.0,173.0,Buy,2026-05-31T14:53:44,73.5,4.47,16.44,11.0,42.0,0.55,9.0,0.8,33.5,2.4
AEP,"American Electric Power Company, Inc.",2019,126.67,144.5238,129.0,173.0,Buy,2026-05-31T14:53:44,92.0,3.93,23.41,9.5,42.5,0.56,9.5,1.0,33.0,2.6
AEP,"American Electric Power Company, Inc.",2020,126.67,144.5238,129.0,173.0,Buy,2026-05-31T14:53:44,90.0,4.55,19.78,10.5,44.5,0.57,10.0,1.5,32.5,2.78
AEP,"American Electric Power Company, Inc.",2021,126.67,144.5238,129.0,173.0,Buy,2026-05-31T14:53:44,75.59,,,,,,,,,3.0
AEP,"American Electric Power Company, Inc.",2022,126.67,144.5238,129.0,173.0,Buy,2026-05-31T14:53:44,83.44,4.49,18.58,9.66,46.5319,0.4452,10.2983,-2.8908,38.2475,3.17
AEP,"American Electric Power Company, Inc.",2023,126.67,144.5238,129.0,173.0,Buy,2026-05-31T14:53:44,74.28,4.24,17.52,8.75,48.5321,0.451,9.6346,-4.7943,36.4894,3.37
AEP,"American Electric Power Company, Inc.",2024,126.67,144.5238,129.0,173.0,Buy,2026-05-31T14:53:44,87.79,5.58,15.73,11.01,50.7097,0.444,12.8054,-1.8199,37.1158,3.57
AEP,"American Electric Power Company, Inc.",2025,126.67,144.5238,129.0,173.0,Buy,2026-05-31T14:53:44,113.58,6.66,17.05,11.5,57.9346,0.4325,12.9198,-3.0495,40.702,3.74
AIPO,Defiance AI & Power Infrastructure ETF,2019,42.8,,,,Thematic ETF,2026-05-30T12:35:17.805760+00:00,,,,,,,,,,
AIPO,Defiance AI & Power Infrastructure ETF,2020,42.8,,,,Thematic ETF,2026-05-30T12:35:17.805760+00:00,,,,,,,,,,
AIPO,Defiance AI & Power Infrastructure ETF,2021,42.8,,,,Thematic ETF,2026-05-30T12:35:17.805760+00:00,,,,,,,,,,
AIPO,Defiance AI & Power Infrastructure ETF,2022,42.8,,,,Thematic ETF,2026-05-30T12:35:17.805760+00:00,,,,,,,,,,
AIPO,Defiance AI & Power Infrastructure ETF,2023,42.8,,,,Thematic ETF,2026-05-30T12:35:17.805760+00:00,,,,,,,,,,
AIPO,Defiance AI & Power Infrastructure ETF,2024,42.8,,,,Thematic ETF,2026-05-30T12:35:17.805760+00:00,33.1,,,,,,,,,
AIPO,Defiance AI & Power Infrastructure ETF,2025,42.8,,,,Thematic ETF,2026-05-30T12:35:17.805760+00:00,42.8,,,,,,,,,
ALB,Albemarle Corporation,2015,176.42,212.74,83.28,264.0,Buy,2026-05-31T14:53:48,48.0,3.27,14.68,12.0,26.0,0.38,3.5,1.5,18.0,1.22
ALB,Albemarle Corporation,2016,176.42,212.74,83.28,264.0,Buy,2026-05-31T14:53:48,62.5,3.53,17.71,12.5,28.0,0.38,4.0,2.0,19.5,1.27
ALB,Albemarle Corporation,2017,176.42,212.74,83.28,264.0,Buy,2026-05-31T14:53:48,79.0,4.23,18.68,14.0,31.0,0.4,4.5,2.0,22.0,1.35
ALB,Albemarle Corporation,2018,176.42,212.74,83.28,264.0,Buy,2026-05-31T14:53:48,69.0,6.32,10.92,20.0,35.0,0.42,6.5,3.5,28.0,1.47
ALB,Albemarle Corporation,2019,176.42,212.74,83.28,264.0,Buy,2026-05-31T14:53:48,72.0,3.95,18.23,12.0,37.0,0.44,5.0,2.0,26.0,1.52
ALB,Albemarle Corporation,2020,176.42,212.74,83.28,264.0,Buy,2026-05-31T14:53:48,152.0,3.09,49.19,9.5,39.0,0.44,5.0,2.5,26.0,1.56
ALB,Albemarle Corporation,2021,176.42,212.74,83.28,264.0,Buy,2026-05-31T14:53:48,218.0,1.06,205.66,3.0,41.5,0.44,4.0,0.5,28.0,1.56
ALB,Albemarle Corporation,2022,176.42,212.74,83.28,264.0,Buy,2026-05-31T14:53:48,206.56,22.84,9.04,33.7,67.7683,0.2146,16.1966,5.4859,62.1438,1.58
ALB,Albemarle Corporation,2023,176.42,212.74,83.28,264.0,Buy,2026-05-31T14:53:48,138.64,13.36,10.38,16.72,79.9227,0.2343,11.2646,-7.0305,81.6637,1.6
ALB,Albemarle Corporation,2024,176.42,212.74,83.28,264.0,Buy,2026-05-31T14:53:48,83.79,-11.2,,-11.84,84.7673,0.2177,5.8535,-8.447,45.7599,1.61
ALB,Albemarle Corporation,2025,176.42,212.74,83.28,264.0,Buy,2026-05-31T14:53:48,140.67,-5.76,,-5.36,81.0219,0.2013,10.8977,5.8851,43.7069,1.62
AMD,Advanced Micro Devices,2015,420.0,459.96,225.0,625.0,Buy,2026-05-30T12:35:17.805760+00:00,2.38,-0.71,-3.35,,2.2,0.62,-0.3,-0.4,3.8,0.0
AMD,Advanced Micro Devices,2016,420.0,459.96,225.0,625.0,Buy,2026-05-30T12:35:17.805760+00:00,11.3,-0.58,-19.48,,2.5,0.7,-0.2,-0.3,3.8,0.0
AMD,Advanced Micro Devices,2017,420.0,459.96,225.0,625.0,Buy,2026-05-30T12:35:17.805760+00:00,11.0,0.14,78.57,3.5,2.8,0.68,0.2,0.1,4.3,0.0
AMD,Advanced Micro Devices,2018,420.0,459.96,225.0,625.0,Buy,2026-05-30T12:35:17.805760+00:00,18.5,-0.08,-231.25,,3.0,0.68,0.3,0.2,4.9,0.0
AMD,Advanced Micro Devices,2019,420.0,459.96,225.0,625.0,Buy,2026-05-30T12:35:17.805760+00:00,45.5,0.3,151.67,9.0,3.5,0.6,0.5,0.4,5.9,0.0
AMD,Advanced Micro Devices,2020,420.0,459.96,225.0,625.0,Buy,2026-05-30T12:35:17.805760+00:00,91.7,0.45,203.78,11.5,4.2,0.55,0.8,0.7,7.1,0.0
AMD,Advanced Micro Devices,2021,420.0,459.96,225.0,625.0,Buy,2026-05-30T12:35:17.805760+00:00,156.4,1.06,147.55,17.0,7.0,0.48,1.8,1.6,12.5,0.0
AMD,Advanced Micro Devices,2022,420.0,459.96,225.0,625.0,Buy,2026-05-30T12:35:17.805760+00:00,65.0,0.25,260.0,3.5,8.5,0.46,0.7,0.5,15.5,0.0
AMD,Advanced Micro Devices,2023,420.0,459.96,225.0,625.0,Buy,2026-05-30T12:35:17.805760+00:00,147.4,2.65,55.62,27.0,10.0,0.44,3.5,3.2,14.0,0.0
AMD,Advanced Micro Devices,2024,420.0,459.96,225.0,625.0,Buy,2026-05-30T12:35:17.805760+00:00,169.0,1.0,169.0,8.5,12.0,0.42,2.0,1.7,15.5,0.0
AMD,Advanced Micro Devices,2025,420.0,459.96,225.0,625.0,Buy,2026-05-30T12:35:17.805760+00:00,420.0,2.65,158.49,19.0,14.5,0.4,4.5,4.1,21.0,0.0
AMGN,Amgen,2015,329.59,345.0,250.0,440.0,Hold,2026-05-30T12:35:17.805760+00:00,162.0,10.38,15.61,,-2.0,0.65,12.0,10.0,54.0,3.16
AMGN,Amgen,2016,329.59,345.0,250.0,440.0,Hold,2026-05-30T12:35:17.805760+00:00,148.9,10.4,14.32,,-3.0,0.72,13.0,11.0,57.0,3.8
AMGN,Amgen,2017,329.59,345.0,250.0,440.0,Hold,2026-05-30T12:35:17.805760+00:00,173.0,12.51,13.83,,-3.5,0.78,14.5,12.5,59.5,4.6
AMGN,Amgen,2018,329.59,345.0,250.0,440.0,Hold,2026-05-30T12:35:17.805760+00:00,191.4,13.45,14.23,,-5.0,0.8,16.0,14.5,60.0,5.28
AMGN,Amgen,2019,329.59,345.0,250.0,440.0,Hold,2026-05-30T12:35:17.805760+00:00,185.1,11.54,16.04,100.0,10.5,0.82,13.0,11.5,55.5,6.4
AMGN,Amgen,2020,329.59,345.0,250.0,440.0,Hold,2026-05-30T12:35:17.805760+00:00,231.7,10.1,22.94,70.0,13.0,0.78,13.5,11.8,56.5,7.04
AMGN,Amgen,2021,329.59,345.0,250.0,440.0,Hold,2026-05-30T12:35:17.805760+00:00,248.7,17.67,14.07,200.0,8.0,0.82,17.5,15.0,63.0,7.04
AMGN,Amgen,2022,329.59,345.0,250.0,440.0,Hold,2026-05-30T12:35:17.805760+00:00,258.7,12.96,19.96,80.0,10.0,0.83,11.0,8.5,71.5,7.76
AMGN,Amgen,2023,329.59,345.0,250.0,440.0,Hold,2026-05-30T12:35:17.805760+00:00,281.5,3.38,83.28,20.0,20.0,0.82,13.0,10.5,71.0,8.52
AMGN,Amgen,2024,329.59,345.0,250.0,440.0,Hold,2026-05-30T12:35:17.805760+00:00,279.0,7.56,36.9,40.0,25.0,0.8,16.0,13.0,67.5,9.0
AMGN,Amgen,2025,329.59,345.0,250.0,440.0,Hold,2026-05-30T12:35:17.805760+00:00,280.0,14.23,19.68,70.0,30.0,0.79,20.0,17.0,74.5,9.52
AMT,American Tower,2015,174.0,216.79,185.0,260.0,Buy,2026-05-30T12:35:17.805760+00:00,90.0,1.36,66.18,10.0,8.5,0.64,5.5,2.5,16.0,1.76
AMT,American Tower,2016,174.0,216.79,185.0,260.0,Buy,2026-05-30T12:35:17.805760+00:00,110.0,2.81,39.15,18.0,10.0,0.66,6.5,3.5,18.5,2.16
AMT,American Tower,2017,174.0,216.79,185.0,260.0,Buy,2026-05-30T12:35:17.805760+00:00,139.0,2.85,48.77,14.0,11.0,0.68,7.5,4.0,20.0,2.62
AMT,American Tower,2018,174.0,216.79,185.0,260.0,Buy,2026-05-30T12:35:17.805760+00:00,150.0,4.54,33.04,18.0,15.0,0.68,9.0,4.5,23.0,3.16
AMT,American Tower,2019,174.0,216.79,185.0,260.0,Buy,2026-05-30T12:35:17.805760+00:00,212.0,4.69,45.2,16.0,17.0,0.7,10.5,5.5,26.0,3.72
AMT,American Tower,2020,174.0,216.79,185.0,260.0,Buy,2026-05-30T12:35:17.805760+00:00,228.0,3.33,68.47,10.0,20.0,0.72,11.0,6.0,30.0,4.44
AMT,American Tower,2021,174.0,216.79,185.0,260.0,Buy,2026-05-30T12:35:17.805760+00:00,249.0,3.58,69.55,9.0,24.0,0.74,12.0,7.0,35.0,5.24
AMT,American Tower,2022,174.0,216.79,185.0,260.0,Buy,2026-05-30T12:35:17.805760+00:00,211.0,2.27,92.95,5.5,24.0,0.76,12.5,6.0,38.0,6.0
AMT,American Tower,2023,174.0,216.79,185.0,260.0,Buy,2026-05-30T12:35:17.805760+00:00,199.0,4.82,41.29,11.0,33.0,0.76,13.0,7.0,40.0,6.48
AMT,American Tower,2024,174.0,216.79,185.0,260.0,Buy,2026-05-30T12:35:17.805760+00:00,174.0,4.82,36.1,10.5,34.0,0.76,13.5,7.5,42.0,6.64
AMT,American Tower,2025,174.0,216.79,185.0,260.0,Buy,2026-05-30T12:35:17.805760+00:00,191.0,5.4,35.37,11.5,36.0,0.76,14.0,8.0,44.0,6.68
AMZN,"Amazon.com, Inc.",2015,186.28,318.0,175.0,370.0,Strong Buy,2026-05-30T12:35:40.950775+00:00,33.75,1.25,27.0,2.0,13.1,0.38,12.0,3.0,161.0,0.0
AMZN,"Amazon.com, Inc.",2016,186.28,318.0,175.0,370.0,Strong Buy,2026-05-30T12:35:40.950775+00:00,37.45,4.9,7.64,12.0,14.8,0.29,14.8,2.5,196.0,0.0
AMZN,"Amazon.com, Inc.",2017,186.28,318.0,175.0,370.0,Strong Buy,2026-05-30T12:35:40.950775+00:00,58.5,6.15,9.51,16.7,17.5,0.47,16.2,5.7,243.0,0.0
AMZN,"Amazon.com, Inc.",2018,186.28,318.0,175.0,370.0,Strong Buy,2026-05-30T12:35:40.950775+00:00,75.1,20.14,3.72,29.4,27.3,0.35,25.6,10.5,299.0,0.0
AMZN,"Amazon.com, Inc.",2019,186.28,318.0,175.0,370.0,Strong Buy,2026-05-30T12:35:40.950775+00:00,92.4,23.01,4.01,21.4,32.1,0.27,31.8,16.7,367.0,0.0
AMZN,"Amazon.com, Inc.",2020,186.28,318.0,175.0,370.0,Strong Buy,2026-05-30T12:35:40.950775+00:00,162.85,41.83,3.89,27.0,46.8,0.25,56.9,34.4,473.0,0.0
AMZN,"Amazon.com, Inc.",2021,186.28,318.0,175.0,370.0,Strong Buy,2026-05-30T12:35:40.950775+00:00,166.7,64.81,2.57,30.4,62.2,0.26,80.5,54.1,586.0,0.0
AMZN,"Amazon.com, Inc.",2022,186.28,318.0,175.0,370.0,Strong Buy,2026-05-30T12:35:40.950775+00:00,84.0,-0.27,-311.0,-1.6,2.8,0.32,0.7,-0.29,31.25,0.0
AMZN,"Amazon.com, Inc.",2023,186.28,318.0,175.0,370.0,Strong Buy,2026-05-30T12:35:40.950775+00:00,151.0,2.9,52.0,15.3,9.6,0.22,14.8,-3.9,490.0,0.0
AMZN,"Amazon.com, Inc.",2024,186.28,318.0,175.0,370.0,Strong Buy,2026-05-30T12:35:40.950775+00:00,187.0,5.53,33.0,24.3,14.1,0.16,20.9,10.1,540.0,0.0
AMZN,"Amazon.com, Inc.",2025,186.28,318.0,175.0,370.0,Strong Buy,2026-05-30T12:35:40.950775+00:00,195.0,7.17,27.2,24.8,18.3,,22.1,8.5,577.0,0.0
APD,Air Products,2015,301.76,330.0,220.0,420.0,Hold,2026-05-30T12:35:17.805760+00:00,141.5,5.64,25.09,20.0,27.0,0.32,8.0,4.0,40.0,3.38
APD,Air Products,2016,301.76,330.0,220.0,420.0,Hold,2026-05-30T12:35:17.805760+00:00,144.0,6.2,23.23,21.0,28.5,0.32,9.0,5.0,38.0,3.86
APD,Air Products,2017,301.76,330.0,220.0,420.0,Hold,2026-05-30T12:35:17.805760+00:00,154.0,6.62,23.26,22.0,30.0,0.34,10.0,5.5,40.0,4.22
APD,Air Products,2018,301.76,330.0,220.0,420.0,Hold,2026-05-30T12:35:17.805760+00:00,178.0,7.18,24.79,23.0,31.5,0.36,11.0,6.0,43.5,4.76
APD,Air Products,2019,301.76,330.0,220.0,420.0,Hold,2026-05-30T12:35:17.805760+00:00,219.5,7.82,28.07,23.5,34.0,0.4,12.0,6.5,46.5,5.56
APD,Air Products,2020,301.76,330.0,220.0,420.0,Hold,2026-05-30T12:35:17.805760+00:00,279.0,8.33,33.49,22.0,36.5,0.44,11.5,6.0,46.5,6.04
APD,Air Products,2021,301.76,330.0,220.0,420.0,Hold,2026-05-30T12:35:17.805760+00:00,316.0,8.66,36.49,20.5,40.5,0.46,13.0,7.0,55.0,6.4
APD,Air Products,2022,301.76,330.0,220.0,420.0,Hold,2026-05-30T12:35:17.805760+00:00,299.0,9.91,30.17,20.0,44.0,0.48,14.0,7.5,65.0,6.68
APD,Air Products,2023,301.76,330.0,220.0,420.0,Hold,2026-05-30T12:35:17.805760+00:00,310.0,11.35,27.31,21.0,48.0,0.48,15.0,8.0,65.0,7.08
APD,Air Products,2024,301.76,330.0,220.0,420.0,Hold,2026-05-30T12:35:17.805760+00:00,348.0,17.04,20.42,30.0,54.0,0.52,16.5,8.5,64.0,7.72
APD,Air Products,2025,301.76,330.0,220.0,420.0,Hold,2026-05-30T12:35:17.805760+00:00,290.0,-1.77,-163.84,,58.0,0.54,14.0,5.0,62.0,8.0
AVB,AvalonBay,2015,181.0,200.69,183.0,249.0,Buy,2026-05-30T12:35:17.805760+00:00,210.0,8.9,23.6,14.0,58.0,0.4,12.0,8.0,42.0,4.64
AVB,AvalonBay,2016,181.0,200.69,183.0,249.0,Buy,2026-05-30T12:35:17.805760+00:00,202.0,7.3,27.67,11.0,60.0,0.42,12.5,8.5,45.0,5.0
AVB,AvalonBay,2017,181.0,200.69,183.0,249.0,Buy,2026-05-30T12:35:17.805760+00:00,183.0,7.7,23.77,11.5,63.0,0.44,13.0,9.0,47.0,5.36
AVB,AvalonBay,2018,181.0,200.69,183.0,249.0,Buy,2026-05-30T12:35:17.805760+00:00,176.0,6.15,28.62,9.0,65.0,0.44,13.5,9.5,49.0,5.6
AVB,AvalonBay,2019,181.0,200.69,183.0,249.0,Buy,2026-05-30T12:35:17.805760+00:00,218.0,8.52,25.59,12.5,68.0,0.44,14.5,10.5,53.0,5.92
AVB,AvalonBay,2020,181.0,200.69,183.0,249.0,Buy,2026-05-30T12:35:17.805760+00:00,167.0,5.89,28.35,8.5,67.0,0.46,12.5,8.5,52.0,6.04
AVB,AvalonBay,2021,181.0,200.69,183.0,249.0,Buy,2026-05-30T12:35:17.805760+00:00,254.0,7.19,35.33,10.0,70.0,0.44,13.5,9.5,53.0,5.32
AVB,AvalonBay,2022,181.0,200.69,183.0,249.0,Buy,2026-05-30T12:35:17.805760+00:00,182.0,8.12,22.41,11.5,70.0,0.44,15.0,11.0,58.0,6.28
AVB,AvalonBay,2023,181.0,200.69,183.0,249.0,Buy,2026-05-30T12:35:17.805760+00:00,174.0,6.56,26.52,9.0,72.0,0.44,15.5,11.5,62.0,6.72
AVB,AvalonBay,2024,181.0,200.69,183.0,249.0,Buy,2026-05-30T12:35:17.805760+00:00,224.0,7.48,29.95,10.0,74.0,0.44,16.0,12.0,65.0,6.96
AVB,AvalonBay,2025,181.0,200.69,183.0,249.0,Buy,2026-05-30T12:35:17.805760+00:00,204.0,7.17,28.45,9.5,76.0,0.44,16.5,12.5,68.0,7.0
AVGO,Broadcom,2015,215.0,451.89,300.0,582.0,Strong Buy,2026-05-30T12:35:17.805760+00:00,46.0,2.5,18.4,15.0,14.0,0.42,3.5,3.2,11.0,1.02
AVGO,Broadcom,2016,215.0,451.89,300.0,582.0,Strong Buy,2026-05-30T12:35:17.805760+00:00,71.5,3.4,21.03,18.0,16.5,0.48,4.8,4.5,13.5,1.48
AVGO,Broadcom,2017,215.0,451.89,300.0,582.0,Strong Buy,2026-05-30T12:35:17.805760+00:00,116.5,4.2,27.74,22.0,19.0,0.52,6.0,5.6,17.5,2.65
AVGO,Broadcom,2018,215.0,451.89,300.0,582.0,Strong Buy,2026-05-30T12:35:17.805760+00:00,131.7,4.5,29.27,25.0,20.0,0.58,7.0,6.5,20.0,4.2
AVGO,Broadcom,2019,215.0,451.89,300.0,582.0,Strong Buy,2026-05-30T12:35:17.805760+00:00,140.3,5.0,28.06,28.0,18.0,0.62,8.5,7.8,22.5,5.4
AVGO,Broadcom,2020,215.0,451.89,300.0,582.0,Strong Buy,2026-05-30T12:35:17.805760+00:00,139.1,5.6,24.84,30.0,20.0,0.64,9.5,8.8,25.0,7.0
AVGO,Broadcom,2021,215.0,451.89,300.0,582.0,Strong Buy,2026-05-30T12:35:17.805760+00:00,149.3,14.0,10.66,57.0,27.5,0.68,12.5,11.5,31.5,9.0
AVGO,Broadcom,2022,215.0,451.89,300.0,582.0,Strong Buy,2026-05-30T12:35:17.805760+00:00,147.5,19.6,7.53,88.0,21.0,0.72,14.5,13.5,37.5,11.0
AVGO,Broadcom,2023,215.0,451.89,300.0,582.0,Strong Buy,2026-05-30T12:35:17.805760+00:00,168.0,-0.1,-1680.0,-0.5,13.5,0.75,9.5,8.8,28.0,14.5
AVGO,Broadcom,2024,215.0,451.89,300.0,582.0,Strong Buy,2026-05-30T12:35:17.805760+00:00,185.6,1.23,150.89,13.0,16.0,0.74,9.8,9.2,23.0,2.1
